algo,p_pdr_vs_baseline,p_bpj_vs_baseline,p_overhead_vs_baseline
ACTAR-2024,0.5171515969824234,0.01403313482549197,0.022614488212620482
TFSM-DPC-2024,0.42354685344957355,0.012962744189320356,0.09100079760853404
DST-WOA-2024,0.07738350557223692,0.015615137315074978,0.01637786747413414
TRAIL (ours),0.002049709577781355,0.1280030642207566,0.06395507345647866
