algo_tag,algo,FND,HND,LND,func_life_pdr90,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed
SHEER-2025,SHEER-2025,1374,1387,8918,300,15449,91828,0.8317615542100448,0.16823844578995517,0.9440553031592454,0.8849196944464196,0.0006542696228162624,34258.353891006955,1.8976227853778873,2.7736286429799555,1.0,2574,9501,16,0,0,18366800,8918,42
ACTAR-2024,ACTAR-2024,831,984,4612,300,14999,89648,0.8326900767446012,0.16730992325539884,0.935900012056424,0.8841110907048837,0.00066936783446936,64743.27840416305,2.522983521248916,4.140094086071971,1.6489839113718872,1394,11575,12,0,0,17929600,4612,42
TFSM-DPC-2024,TFSM-DPC-2024,708,1161,5559,300,13907,82828,0.832097841309702,0.167902158690298,0.9394814352664645,0.8884834907283272,0.0007157466591616762,49592.37272890808,2.407807159561072,3.654312233537498,1.807736393842225,1463,10668,14,0,0,16566600,5559,42
DST-WOA-2024,DST-WOA-2024,806,1513,7742,348,14888,91503,0.8372949520780739,0.16270504792192608,0.9516674280493376,0.9008323607650388,0.0006523330642637309,39584.08679927667,1.7442521312322397,4.293199431671404,1.4136265744305945,1714,9725,14,0,0,18302600,7742,42
TRAIL (ours),TRAIL (ours),926,1073,8702,1091,13116,90545,0.8551438511237506,0.14485614887624942,0.9657492670704775,0.9314936887425611,0.00064537884976491,35591.35830843484,2.014019765571133,3.3030292004312507,1.235583566880626,2293,5163,20,0,0,18109000,8702,42
SHEER-2025,SHEER-2025,1426,1440,10506,362,13886,90401,0.8463955044745081,0.15360449552549194,0.9393582957590015,0.8962013721702534,0.0006531027046000255,29131.924614505995,1.7999238530363602,2.392234482789882,1.0,3199,8486,14,0,0,18080200,10506,43
ACTAR-2024,ACTAR-2024,860,1005,6993,300,13369,88344,0.8486711038667029,0.15132889613329714,0.9452617539179726,0.8999294113565491,0.0006665413869118867,42885.74288574288,1.9991419991419992,2.9814354655624498,1.649896632210737,2022,9856,12,0,0,17668800,6993,43
TFSM-DPC-2024,TFSM-DPC-2024,690,1178,7505,1441,12663,84104,0.8494364120612575,0.15056358793874247,0.9504346243753586,0.9095617381537783,0.0006990856300002555,38076.482345103264,2.0265156562291806,3.1663932811080797,1.8041740737111742,2028,8341,18,0,0,16822200,7505,43
DST-WOA-2024,DST-WOA-2024,824,1586,8359,1237,13164,91472,0.8560871086234039,0.14391289137659613,0.9558154977780048,0.9229115085870566,0.0006381191352701418,37472.42493121187,1.7101327910037085,4.08696016269889,1.4182459008019614,1948,7096,17,0,0,18294400,8359,43
TRAIL (ours),TRAIL (ours),926,1080,9513,1089,12070,89465,0.8650869054937685,0.13491309450623146,0.9718069642741779,0.9382134325691687,0.0006456879548659046,32542.83611899506,1.9339850730579207,2.9557141110988487,1.2384779378512825,2551,4707,20,0,0,17894600,9513,43
