algo,pdr_mean,pdr_std,bpj_mean,bpj_std,overhead_mean,overhead_std,timely_overall_mean,timely_overall_std,n,pdr_ci95,bpj_ci95,overhead_ci95,timely_overall_ci95
ACTAR-2024,0.7496354203199063,0.12795782297131061,1306.7083033209346,144.29535461895372,0.1459718406914458,0.024665186018890284,0.6705193364768954,0.1685996239666438,5,0.11215997704335996,126.48045493204415,0.021619988785439106,0.14778408630676476
DST-WOA-2024,0.7612852541810202,0.1171507394656902,1383.04978292055,120.21001654573386,0.1424159565210045,0.02169010690546783,0.6984311424713102,0.15185491229411788,5,0.10268715068738306,105.36872528047306,0.019012216964106557,0.1331066993899111
SHEER-2025,0.7483462945417825,0.12819317492690402,1332.7482029857983,145.6900558039412,0.148282751992236,0.024921614569659772,0.6670861939594701,0.17146231967716066,5,0.11236627212812698,127.70296442195331,0.0218447583204289,0.15029334973214895
TFSM-DPC-2024,0.7509812960024744,0.12275189007810024,1256.6599240432683,106.7072194467422,0.14642839188214613,0.023134677289632973,0.6778268489102766,0.16048167752367862,5,0.10759677566783592,93.53300177817799,0.020278438734398847,0.14066839251376903
TRAIL (ours),0.7775789270436518,0.11970003503257545,1397.2514390149645,71.53845044669644,0.14176034321352846,0.01921082435937257,0.7261414119531673,0.15270719924046627,5,0.10492170677484242,62.706216575894864,0.016839029995175437,0.13385376183687245
