algo_tag,algo,FND,HND,LND,func_life_pdr90,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed
SHEER-2025,SHEER-2025,1423,1445,7101,300,39558,101012,0.608383162396547,0.391616837603453,0.8003221922088066,0.7125476912034098,0.0008132617456944227,34617.09618363611,2.0122517955217574,5.075268909140897,1.0,2528,24330,38,0,0,20203600,7101,42
ACTAR-2024,ACTAR-2024,882,1114,5055,300,37388,97521,0.6166159083684539,0.3833840916315461,0.7856418272828564,0.7149693326273148,0.0008311736528980294,47582.987141444115,2.3224530168150346,5.183830790596374,1.6219879267623434,2131,27856,23,0,0,19504200,5055,42
TFSM-DPC-2024,TFSM-DPC-2024,753,1287,5756,300,35159,93408,0.6235975505310037,0.37640244946899626,0.814211402770863,0.7296406117264214,0.000857828199907235,40478.804725503825,2.2463516330785267,5.258891100964718,1.720355714261189,2119,25543,33,0,0,18681600,5756,42
DST-WOA-2024,DST-WOA-2024,849,1792,4511,300,37756,102016,0.629901191969887,0.37009880803011297,0.8318860877684408,0.7493922640938506,0.0007776891816390287,56980.71381068499,2.237419640877854,8.543368063252784,1.4101151571739807,1415,24482,36,0,0,20404800,4511,42
TRAIL (ours),TRAIL (ours),859,1097,6776,920,38218,106242,0.6402740912256922,0.35972590877430777,0.861019640127014,0.7792767446864324,0.0007346211613274874,40155.844155844155,1.7755312868949233,8.628550398997566,1.144992943666941,1733,18650,50,0,0,21250400,6776,42
SHEER-2025,SHEER-2025,1426,1445,9502,300,38700,98883,0.6086283789933558,0.39137162100664424,0.8042968944718608,0.709832236759171,0.0008302177277249832,25334.876868027783,1.7611029256998527,3.824855418909304,1.0,3349,24124,35,0,0,19783400,9502,43
ACTAR-2024,ACTAR-2024,890,1032,9265,300,36315,96625,0.6241655886157826,0.37583441138421736,0.81543690930194,0.7286401348276901,0.0008286835176579354,26037.776578521316,1.6528872099298435,3.6168618067187945,1.6147736693748964,3175,26085,27,0,0,19326200,9265,43
TFSM-DPC-2024,TFSM-DPC-2024,753,1356,7834,300,35122,93052,0.6225551304646864,0.37744486953531364,0.822095632660107,0.7282092854160535,0.000862149025032968,29578.75925453153,1.8971151391370946,4.403531291297852,1.711669255998619,2700,25566,36,0,0,18615200,7834,43
DST-WOA-2024,DST-WOA-2024,796,1686,7956,300,36078,100112,0.6396236215438709,0.36037637845612913,0.8321672861292438,0.7609471145702666,0.0007805056823101317,32194.06737053796,1.6798642533936652,5.453709988268811,1.4038791891807478,2529,22529,36,0,0,20029400,7956,43
TRAIL (ours),TRAIL (ours),892,1001,9358,932,37158,104175,0.6433117350611951,0.3566882649388049,0.8656609516988227,0.7820396711749095,0.0007456359159004859,28645.864500961743,1.5416755717033555,6.353181035536831,1.1817896951519764,2477,18072,50,0,0,20835000,9358,43
SHEER-2025,SHEER-2025,1404,1427,6458,300,39024,100774,0.6127572588167582,0.38724274118324176,0.8137651821862348,0.7160413007263683,0.0008092963071128851,38247.135336017345,2.0611644471972745,5.585694376852633,1.0,2294,23944,40,0,0,20155800,6458,44
ACTAR-2024,ACTAR-2024,861,1057,7342,300,36015,96895,0.6283089942721503,0.37169100572784974,0.8242772667542707,0.7321347310978259,0.000820801489485557,33168.074094252246,1.7993734677199673,4.323221262907316,1.607982917214192,2570,27132,29,0,0,19380400,7342,44
TFSM-DPC-2024,TFSM-DPC-2024,722,1269,4870,300,35033,92784,0.6224241248491119,0.3775758751508881,0.8264965108829284,0.7296068836730042,0.000865252874571428,47434.086242299796,2.4281314168377826,6.153126880294556,1.7174767536492874,1847,25154,34,0,0,18556800,4870,44
DST-WOA-2024,DST-WOA-2024,782,1907,4143,300,38204,101527,0.6237060092389217,0.3762939907610783,0.8236185904015918,0.73307374574185,0.0007891746249426787,61137.34009172097,2.2896451846488053,9.325476707699728,1.4027130742384284,1364,26403,40,0,0,20313200,4143,44
TRAIL (ours),TRAIL (ours),847,1024,6786,910,38074,105439,0.6389002171871888,0.3610997828128112,0.8635047873524827,0.7757458108038466,0.0007417364664870901,39708.22281167109,1.7465369879162982,8.544592287150383,1.1514139389890894,1769,18627,50,0,0,21091600,6786,44
SHEER-2025,SHEER-2025,1369,1389,11029,300,38473,100738,0.6180885068196709,0.38191149318032913,0.8146631333815145,0.7248513083218252,0.0008025491289840275,22582.28307190135,1.565599782391876,3.9526529625359985,1.0,3522,23194,43,0,0,20147600,11029,45
ACTAR-2024,ACTAR-2024,864,1057,9779,300,36732,96893,0.6209014067063668,0.37909859329363316,0.8031947607253869,0.7210853409865087,0.0008305682334194751,24608.24215154924,1.6295122200634011,3.3682271010397606,1.6163793819916557,3455,28230,29,0,0,19380000,9779,45
TFSM-DPC-2024,TFSM-DPC-2024,731,1321,7633,300,36277,93414,0.6116534994754533,0.38834650052454667,0.8174912928575179,0.7180712913889742,0.0008711647615062065,29942.093541202674,1.8841870824053453,4.5235459401727605,1.7549048777499694,2756,26876,35,0,0,18691400,7633,45
DST-WOA-2024,DST-WOA-2024,829,1806,6418,300,37308,101290,0.6316714384440715,0.3683285615559285,0.8393766996967897,0.7469689075538823,0.0007810593587293973,39876.59707073855,1.8025864755375507,6.766471901942453,1.4125222718889687,2015,27451,40,0,0,20258000,6418,45
TRAIL (ours),TRAIL (ours),835,929,8660,898,38083,104903,0.6369693907705214,0.3630306092294786,0.8658335827596528,0.7741165330877613,0.0007478833603131367,30863.741339491917,1.5503464203233257,6.9004311175096396,1.1647261299012273,2319,18860,50,0,0,20985400,8660,45
SHEER-2025,SHEER-2025,1348,1364,9608,300,38428,98590,0.6102241606653819,0.3897758393346181,0.8109770286892058,0.7121496403726353,0.0008306961314695409,25046.627810158203,1.7164862614487926,3.7619456504500226,1.0,3212,23836,36,0,0,19718000,9608,46
ACTAR-2024,ACTAR-2024,889,1086,8685,300,35894,95073,0.622458531864988,0.377541468135012,0.8112337146622958,0.7205420911697287,0.0008443448548418492,27255.72826712723,1.7263097294185377,3.4268720472261074,1.62667500295713,3157,26168,25,0,0,19015600,8685,46
