algo_tag,algo,FND,HND,LND,drop_p,total_p,pdr,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,control_overhead_bits,rounds_run,seed
SHEER-2025,SHEER-2025,1070,2223,6923,23366,84159,0.7826923971169496,0.9642937772549579,0.9238928609842486,0.001187689961953408,48625.74028600318,1.5042611584573162,7.107374715980087,1.0146151926710156,1204,6318,20,0,19908400,6923,42
ACTAR-2024,ACTAR-2024,1335,1991,10899,20314,81208,0.7999054392151455,0.9645724559156733,0.928565212058324,0.0012305396144719856,29803.83521423984,1.341499220111937,3.9971404733240696,1.0,2433,5712,20,0,18944000,10899,42
TFSM-DPC-2024,TFSM-DPC-2024,138,2552,7759,25208,78422,0.7567499758757117,0.9630078294356176,0.9277544606606326,0.001274348712084592,40428.92125273876,1.9015337027967523,5.342626074788759,1.0,704,5162,20,0,18813400,7759,42
DST-WOA-2024,DST-WOA-2024,1186,2343,8610,23056,83930,0.7844951675920214,0.9632908376027642,0.923215070220815,0.001190586276761723,38991.86991869919,1.3207897793263648,6.1539693601017635,1.0,1456,6428,20,0,19838800,8610,42
TRAIL (ours),TRAIL (ours),1365,2052,11056,19280,81293,0.8082984498821751,0.9682875524337888,0.927507914856001,0.0012293376247872428,29411.36034732272,1.3250723589001447,3.9616601264349076,1.0514189413602648,2560,4901,20,0,18774600,11056,42
