algo_tag,algo,FND,HND,LND,drop_p,total_p,pdr,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,control_overhead_bits,rounds_run,seed
SHEER-2025,SHEER-2025,532,2353,7916,35011,79703,0.6947974963823073,0.9288483494975095,0.8757795160355655,0.0012537403499365519,40274.38100050531,1.3571248105103588,7.753334616649422,1.0145163921056923,1580,10901,30,0,20605400,7916,42
ACTAR-2024,ACTAR-2024,1403,2171,7477,36611,80638,0.6877500021322144,0.937312433344081,0.8731491109308703,0.0012393924432748031,43139.22696268557,1.4426909188177077,7.624335103842257,1.0,1424,11143,30,0,21006200,7477,42
TFSM-DPC-2024,TFSM-DPC-2024,91,2307,8160,38020,76424,0.6677851176121072,0.9438919711085523,0.8911060831884698,0.0013078850836388,37462.74509803922,1.7564950980392158,5.989218895891713,1.0,1207,8486,30,0,20033400,8160,42
DST-WOA-2024,DST-WOA-2024,1073,2626,8379,35758,81843,0.695937959711227,0.9411067531737595,0.8845467279376292,0.0012213437346743528,39070.53347654852,1.2485976846879103,7.887905421149243,1.0,1552,10118,30,0,21077200,8379,42
TRAIL (ours),TRAIL (ours),1426,2277,8913,34113,78559,0.6972362255041181,0.9389885309130717,0.8746588599219675,0.0012720091068733658,35255.91832155279,1.3408504431728936,6.330075692411604,1.0513881286676257,1863,9941,30,0,20212200,8913,42
