algo_tag,algo,FND,HND,LND,drop_p,total_p,pdr,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,control_overhead_bits,rounds_run,seed
SHEER-2025,SHEER-2025,807,2143,5647,10342,87232,0.8940086498452456,0.984879402054292,0.9637153936816083,0.0011455326104074842,61789.97697892686,1.7184345670267398,7.127550377922259,1.014237894350697,745,2714,10,0,18843600,5647,42
ACTAR-2024,ACTAR-2024,1271,1883,5776,11735,88853,0.8833359844116594,0.9843674383532351,0.962989781423229,0.001124940895544418,61532.54847645429,1.76696675900277,6.579457134412984,1.0,926,2924,10,0,19316600,5776,42
TFSM-DPC-2024,TFSM-DPC-2024,141,1957,8255,10184,78154,0.8847155244628586,0.9911712772218952,0.9729355954906677,0.0012787421650833522,37869.897032101755,1.919442761962447,3.466832799746165,1.0,782,1399,10,0,16874800,8255,42
DST-WOA-2024,DST-WOA-2024,983,1869,7246,9701,89675,0.9023808565448398,0.9865625871201561,0.969240467706073,0.0011145295263374562,49503.17416505658,1.4345845983991168,5.831390060854593,1.0,1070,2246,10,0,19248600,7246,42
TRAIL (ours),TRAIL (ours),1346,1961,6926,11193,87125,0.8861551292743953,0.9840114777618364,0.9562382984786102,0.0011471761230418803,50317.64366156512,1.6387525267109442,5.3554291627133095,1.0582266857962697,1333,2756,10,0,18874800,6926,42
